SampleID	DeadendCount
KP_NORM_BLD_112925	83
KP_NORM_BLD_113768	355
KP_NORM_BLD_112908	319
KP_NORM_BLD_112916	423
KP_NORM_BLD_112904	292
KP_NORM_BLD_112922	213
KP_NORM_BLD_111598	136
KGVETS-2019-01-3127	35
KGVETS-2019-01-4407	40
KGVETS-2019-01-4637	158
KGVETS-2019-01-4118	10
KP_NORM_BLD_2014_102946	386
KGVETS-2019-01-3158	16
KP_NORM_BLD_2008_55153	107
KP_NORM_BLD_2012_85054	471
KP_NORM_BLD_2008_54823	95
KP_NORM_BLD_2009_63475	157
KP_NORM_BLD_2010_71621	187
KP_NORM_BLD_2012_85408	343
KP_NORM_BLD_2015_108843	42
KP_NORM_BLD_2014_104014	1274
KP_NORM_BLD_2497	134
KP_NORM_BLD_2011_74838	462
KP_NORM_BLD_2009_63807	384
KP_NORM_BLD_61439	242
KP_NORM_BLD_2011_75461	443
KP_NORM_BLD_110772	192
KP_NORM_BLD_2015_112126	448
KP_NORM_BLD_2013_92328	150
KP_NORM_BLD_2014_100848	234
KP_NORM_BLD_228	236
KGVETS-2019-01-2303	27
KP_NORM_BLD_2011_75117	447
KP_NORM_BLD_2015_111587	381
KP_NORM_BLD_2014_96855	919
KGVETS-2019-01-3185	10
KP_NORM_BLD_2014_101821	250
KP_NORM_BLD_2014_101320	2383
KP_NORM_BLD_14177	264
KP_NORM_BLD_2015_115359	53
KGVETS-2019-01-5108	8
KP_NORM_BLD_2008_54367	139
KGVETS-2019-01-4639	294
KP_NORM_BLD_2013_90851	214
KP_NORM_BLD_2014_104302	258
KGVETS-2019-01-587	10
KP_NORM_BLD_2799	105
KP_NORM_BLD_2247	44
KP_NORM_BLD_2012_86925	321
KP_NORM_BLD_2013_91444	618
KP_NORM_BLD_13738	1211
KGVETS-2019-01-3187	37
KP_NORM_BLD_2010_70236	85
KP_NORM_BLD_2014_103381	3562
KP_NORM_BLD_2254	172
KGVETS-2019-01-4380	16
KGVETS-2019-01-376	7
KP_NORM_BLD_62164	106
KP_NORM_BLD_2508	177
KP_NORM_BLD_231	227
KP_NORM_BLD_2014_100833	2719
KP_NORM_BLD_2013_88977	160
KGVETS-2019-01-4848	8
KP_NORM_BLD_112596	68
KP_NORM_BLD_1032	190
KP_NORM_BLD_2013_91198	246
KGVETS-2019-01-4937	8
KP_NORM_BLD_2012_86962	212
KGVETS-2019-01-4548	786
KGVETS-2019-01-3793	244
KGVETS-2019-01-3162	36
KGVETS-2019-01-476	18
KGVETS-2019-01-897	24
KGVETS-2019-01-2870	5
KGVETS-2019-01-1961	88
KP_NORM_BLD_2009_61895	141
KGVETS-2019-01-326	18
KGVETS-2019-01-2871	2
KP_NORM_BLD_2395	166
KGVETS-2019-01-901	36
KGVETS-2019-01-2201	40
KGVETS-2019-01-604	26
KGVETS-2019-01-902	20
KGVETS-2019-01-4908	12
KP_NORM_BLD_112603	48
KP_NORM_BLD_225	141
KP_NORM_BLD_111588	162
KGVETS-2019-01-2116	61
KP_NORM_URN_2013_95439	199
KP_NORM_URN_2014_97671	173
KP_NORM_URN_109342	24
KP_NORM_URN_2014_97392	2038
KP_NORM_URN_57023	44
KP_NORM_URN_2014_101205	5488
KP_NORM_URN_2015_109238	48
KP_NORM_URN_57002	294
KP_NORM_URN_2014_97677	246
KP_NORM_URN_56534	24
KP_NORM_URN_57447	70
KP_NORM_URN_58012	8
KP_NORM_URN_58251	34
KP_NORM_URN_57979	73
KP_NORM_URN_2014_96612	1478
KP_NORM_URN_2013_96200	330
KP_NORM_URN_106847	18
KP_NORM_URN_56847	64
KP_NORM_URN_2013_95819	237
KP_NORM_URN_2013_95788	852
KP_NORM_BLD_13383	250
KP_NORM_URN_2014_97411	5676
KP_NORM_URN_2015_109056	85
KP_NORM_URN_2015_107962	101
KP_NORM_URN_2013_95951	177
KP_NORM_URN_2015_107836	133
KP_NORM_BLD_13380	272
KP_NORM_URN_2012_81428	210
KP_NORM_URN_2015_109604	129
KP_NORM_URN_2015_109358	46
KP_NORM_URN_56668	12
KP_NORM_URN_57225	8
KP_NORM_URN_57455	86
KP_NORM_BLD_13379	220
KP_NORM_URN_57042	38
KP_NORM_URN_57409	483
KP_NORM_URN_58261	40
NK_H12_023	120
KP_NORM_URN_58233	118
KP_NORM_BLD_13372	860
KP_NORM_BLD_13377	891
KP_NORM_BLD_13375	372
KP_NORM_URN_57695	8
KP_NORM_BLD_13382	4
KP_NORM_BLD_1347	187
KP_NORM_BLD_13534	94
KP_NORM_BLD_1348	298
KP_NORM_BLD_13757	112
KP_NORM_BLD_14164	84
KP_NORM_BLD_1339	221
KP_NORM_BLD_13880	68
KP_NORM_BLD_14222	116
KP_NORM_BLD_13748	660
KP_NORM_BLD_13889	50
KP_NORM_BLD_1692	463
KP_NORM_BLD_14179	90
KP_NORM_URN_2014_99206	8141
KP_NORM_BLD_13886	92
KP_NORM_BLD_1883	251
KP_NORM_BLD_2008_54824	89
KP_NORM_BLD_2005_1167	236
KP_NORM_BLD_2006_36504	215
KP_NORM_URN_114421	12
KP_NORM_BLD_2009_62172	294
KP_NORM_BLD_2006_37102	89
KP_NORM_BLD_2007_46696	210
KP_NORM_BLD_2007_48114	424
KP_NORM_BLD_2007_48102	1516
KP_NORM_BLD_2009_61298	212
KP_NORM_BLD_2008_55014	112
KP_NORM_BLD_2010_70364	225
KP_NORM_BLD_2009_62777	107
KP_NORM_BLD_62922	169
KP_NORM_BLD_61459	14
KP_NORM_BLD_61894	158
KP_NORM_BLD_62912	298
KP_NORM_BLD_62920	250
KP_NORM_BLD_60803	124
KP_NORM_BLD_62486	193
KP_NORM_BLD_62914	229
KP_NORM_BLD_63842	181
KP_NORM_BLD_63801	188
KP_NORM_BLD_61273	119
KP_NORM_BLD_63395	100
KP_NORM_BLD_62934	211
KP_NORM_BLD_70	440
KP_NORM_URN_107976	38
KP_NORM_BLD_62926	102
KP_NORM_BLD_60874	112
KP_NORM_URN_106487	35
KP_NORM_BLD_63815	128
KP_NORM_BLD_62649	118
KP_NORM_BLD_62504	114
KP_NORM_BLD_60778	127
KP_NORM_BLD_60562	178
KP_NORM_BLD_60723	85
KP_NORM_URN_2012_81416	43
KP_NORM_BLD_63839	176
KP_NORM_BLD_60429	1007
KP_NORM_BLD_61886	216
KP_NORM_URN_113027	98
KP_NORM_BLD_62202	256
KP_NORM_BLD_61295	110
KP_NORM_BLD_62638	69
KP_NORM_BLD_62512	148
KP_NORM_BLD_61444	250
NK_H19_015	7721
NK_H18_050	200
NK_H18_073	137
KP_NORM_BLD_3074	221
NK_H1_091	44
NK_H19_011	5550
NK_H1_002	46
NK_H18_038	60
NK_H1_001	193
NK_H1_012	60
NK_H1_011	183
NK_H18_074	95
NK_H18_072	76
NK_H18_054	139
NK_H17_042	264
NK_H17_023	156
NK_H17_034	128
NK_H18_003	145
NK_H17_018	92
NK_H17_017	115
NK_H16_023	18
NK_H16_021	40
NK_H18_026	126
NK_H18_019	178
NK_H17_002	136
NK_H15_060	3
NK_H14_015	4647
NK_H12_063	151
NK_H16_005	850
NK_H25_013	5886
NK_H23_045	159
NK_H24_028	5210
NK_H14_063	202
NK_H24_044	6726
NK_H23_007	124
NK_H15_025	159
NK_H23_041	159
NK_H25_002	24
NK_H12_035	13
NK_H14_042	108
NK_H18_005	150
NK_H3_002	14
NK_H24_006	148
NK_H15_047	167
NK_H12_038	95
NK_H14_010	5342
NK_H14_033	5650
KP_NORM_URN_58394	28
NK_H14_057	103
NK_H12_041	168
NK_H26_006	87
NK_H15_042	122
NK_H22_053	65
NK_H12_068	108
NK_H12_034	20
NK_H13_003	93
NK_H12_053	128
NK_H12_028	12
NK_H24_054	5441
NK_H10_003	114
NK_H23_049	109
NK_H12_018	149
NK_H15_056	72
NK_H14_037	27
NK_H15_001	34
NK_H11_006	6
NK_H15_048	167
NK_H23_002	104
NK_H23_014	2336
NK_H15_021	54
NK_H22_075	78
NK_H15_014	176
NK_H12_100	364
NK_H24_010	139
NK_H29_003	162
NK_H15_032	227
NK_H23_006	56
NK_H15_022	146
NK_H11_013	18
NK_H23_005	46
NK_H23_019	64
NK_H12_086	188
NK_H12_048	153
NK_H14_001	2963
NK_H24_016	3884
NK_H14_050	16
NK_H12_057	124
NK_H14_036	38
NK_H16_016	49
NK_H14_058	12
NK_H15_002	100
NK_H23_015	4062
KP_NORM_URN_58342	286
NK_H22_060	85
NK_H23_027	100
NK_H22_070	116
NK_H16_012	1522
NK_H22_076	66
NK_H21_076	18
NK_H22_027	170
NK_H21_078	111
NK_H21_067	70
NK_H21_014	102
NK_H21_011	154
NK_H22_013	103
NK_H21_036	141
NK_H1_050	131
NK_H1_109	76
NK_H22_018	140
NK_H21_010	118
T7-141	896
NK_H20_015	78
NK_H1_098	50
NK_H22_045	41
NK_H21_023	130
NK_H21_029	158
NK_H22_009	96
NK_H1_074	142
NK_H21_005	116
T7-051	1116
NK_H21_056A	39
T7-160	812
NK_H21_050	129
T7-097	1038
T7-129	1046
T7-105	575
NK_H21_080	70
T7-103	494
NK_H9_001	243
NK_H1_041	36
T7-019	804
NK_H9_006	6486
T7-072	1762
T7-007	1262
T7-133	725
NK_H21_015	134
NK_H1_040	44
NK_H1_059	215
NK_H21_049	48
T7-036	868
T7-050	1256
NK_H8_083	154
T7-032	982
T7-013	1092
T7-010	1186
NK_H8_118	3560
NK_H8_070	120
NK_H1_111	105
NK_H9_003	93
T7-085	990
T7-115	596
NK_H1_037	71
T7-146	730
NK_H1_084	12
T7-089	1220
NK_H8_114	3260
T7-012	1054
NK_H3_001	10
T7-011	1090
NK_H7_005	64
T7-020	908
T7-158	908
NK_H21_037	104
T7-153	902
T7-096	1078
NK_H8_045	112
T7-125	576
NK_H8_011	47
NK_H20_007	5616
NK_H8_077	167
NK_H8_100	63
NK_H20_010	4992
NK_H1_044	134
NK_H2_020	766
NK_H2_007	32
NK_H8_111	3492
NK_H8_057	139
NK_H3_009	36
T7-034	888
NK_H5_010	181
NK_H4_006	32
NK_H3_025	14
T7-290	859
NK_H5_031	70
NK_H3_019	59
T7-242	1004
NK_H8_044	156
NK_H28_005	5070
T7-296	1036
NK_H8_022	174
NK_H8_052	124
NK_H8_002	1
T7-273	998
NK_H8_008	494
T7-213	904
NK_H3_007	147
T7-264	1550
T7-209	2806
T7-189	494
T7-482	16
T7-266	1180
T7-286	1422
NK_H7_010	2570
NK_H4_026	14
T7-267	1246
NK_H2_019	738
NK_H4_002	36
NK_H5_014	193
NK_H8_060	149
NK_H22_015	78
NK_H8_121	3628
T7-289	930
T7-259	1924
NK_H3_015	52
T7-185	392
NK_H2_021	678
T7-225	1240
T7-220	1112
T7-234	1171
T7-262	1152
T7-179	396
T7-180	497
T7-457	174
T7-200	623
T7-240	830
NK_H5_016	77
T7-078	1314
T7-460	180
T7-211	913
T7-165	400
T7-424	1068
T7-181	456
T7-333	974
T7-493	766
T7-442	183
T7-410	1044
T7-394	7640
T7-393	5130
T7-445	174
T7-311	1108
T7-472	36
T7-475	16
T7-365	716
T7-378	1077
T7-488	8
T7-335	896
T7-439	209
T7-414	2606
T7-398	757
T7-349	797
T7-292	1652
T7-326	1370
T7-425	1239
T7-402	1432
